id,interviewId,questionId,timecode
cmp1rwp0n198atgtscs039ns4,cmp1rwoz51963tgtszlfrkuom,cmp1rwp0n1989tgts1xkegood,01:16:49
cmp1rwp14198etgts8tc6mis0,cmp1rwoz51963tgtszlfrkuom,cmp1rwp13198dtgtsa8u1uki0,01:20:16
cmp1rwcdr0o45tgtse5ozzcpn,cmp1rwccw0o1ztgtsq6iybhis,cmp1rwci20of2tgtsv4q3sbgf,00:55:21
cmp1rwcxm0p2vtgtsspurrtdf,cmp1rwcx80p21tgts4b5vxion,cmp1rwci20of2tgtsv4q3sbgf,00:25:21
cmp1rwczq0p89tgtsitd86u7y,cmp1rwcyz0p6dtgts16hix8k8,cmp1rwci20of2tgtsv4q3sbgf,00:34:50
cmp1rwcmo0om0tgtsjuzyi5yo,cmp1rwcmi0olltgtse0trd6z7,cmp1rwci20of2tgtsv4q3sbgf,00:15:20
cmp1rwdg40pq6tgtsjvbh0zxm,cmp1rwdfq0ppatgtsaolcanqq,cmp1rwci20of2tgtsv4q3sbgf,00:21:20
cmp1rwdav0pmatgtsj9ugwlzq,cmp1rwdaj0plftgtsu9lra78r,cmp1rwci20of2tgtsv4q3sbgf,00:09:10
cmp1rwch30ocmtgtsgu5n9gm7,cmp1rwcgo0objtgtsh64fbu4m,cmp1rwci20of2tgtsv4q3sbgf,00:28:50
cmp1rwe3e0qwwtgtsgj791puj,cmp1rwe310qw1tgtsk02bsuvw,cmp1rwci20of2tgtsv4q3sbgf,00:26:42
cmp1rwd7x0pggtgtsyq2xp5x4,cmp1rwd7t0pg6tgts3mpyc5td,cmp1rwdvm0qdutgts8nkc53c7,00:07:58
cmp1rwdlo0q2itgtsh0xk72in,cmp1rwdlk0q28tgtsggx9bzvn,cmp1rwdvm0qdutgts8nkc53c7,00:16:52
cmp1rwctt0ov1tgtsgky3k1m0,cmp1rwct60otftgtsvawlctjg,cmp1rwdvm0qdutgts8nkc53c7,00:45:31
cmp1rwdys0ql8tgts4cghdxoo,cmp1rwdya0qk3tgtsn714dbd8,cmp1rwdig0pw2tgtsbhfp2a3n,00:09:42
cmp1rwciu0oh2tgts85ek5o2m,cmp1rwchf0odgtgtsqrbxqulr,cmp1rwdig0pw2tgtsbhfp2a3n,00:55:23
cmp1rwe0u0qqftgts1r98iyi8,cmp1rwe070qottgtswima6y7h,cmp1rwdkp0q02tgtsg5n042rf,00:03:10
cmp1rwdxb0qi3tgtschxil530,cmp1rwdws0qgttgtsqb1k30vc,cmp1rwd3a0pe0tgtsiio217ii,00:40:02
cmp1rwe1d0qrrtgts2fgos4zg,cmp1rwe110qqytgtsp48dneou,cmp1rwd3a0pe0tgtsiio217ii,00:36:12
cmp1rwcel0o68tgts1esoit9h,cmp1rwced0o5otgtsec6p0kx1,cmp1rwcmm0olwtgts8j9n3gz1,00:13:11
cmp1rwdwb0qfmtgts8xext7k9,cmp1rwdw80qfetgts507s2ou5,cmp1rwd000p90tgtsh29vgxel,00:09:36
cmp1rwcsv0osstgtsuzzvifjt,cmp1rwcs20oqqtgtswzcrcukk,cmp1rwcix0oh9tgtsx0ltssvq,00:10:21
cmp1rwccq0o1ktgts95yiskih,cmp1rwcbo0nyytgtsmb0i0455,cmp1rwcix0oh9tgtsx0ltssvq,00:00:44
cmp1rwdil0pwftgtsry7vo64e,cmp1rwdhu0pujtgtsnoy8meyv,cmp1rwd7h0pfbtgtszwvoopio,00:36:46
cmp1rwdim0pwjtgtsb874ssuo,cmp1rwdhu0pujtgtsnoy8meyv,cmp1rwdrw0q7rtgtszbxwhjxf,00:46:01
cmp1rwp13198ctgts8fmfblm6,cmp1rwoz51963tgtszlfrkuom,cmp1rwras1acntgts63loy7ny,01:17:47
cmp1rweed0rhbtgtsnfeh7m4y,cmp1rwedl0rfbtgtsnnfvqtr3,cmp1rwhr00wmltgts2z43spvg,00:57:43
cmp1rwf1u0sbbtgtske5f8kzv,cmp1rwf1g0sadtgts5d5vvft8,cmp1rwhr00wmltgts2z43spvg,00:24:50
cmp1rwf3s0sg9tgtsgk83rzbo,cmp1rwf3q0sg5tgts6f9gehlj,cmp1rwhr00wmltgts2z43spvg,
cmp1rwili0xujtgts8gqbk3nv,cmp1rwila0xtztgtsfbkhu8y3,cmp1rwhr00wmltgts2z43spvg,00:53:59
cmp1rweaz0ra8tgtsvxpimqma,cmp1rweal0r99tgts4eicyyud,cmp1rwhr00wmltgts2z43spvg,00:35:51
cmp1rwh210vowtgtssxq0936h,cmp1rwh1n0vo0tgtsm0x59gmf,cmp1rwhr00wmltgts2z43spvg,00:23:32
cmp1rwef20rj2tgtsejtapr2y,cmp1rweek0rhttgtsvnn5gwoh,cmp1rwhr00wmltgts2z43spvg,00:41:55
cmp1rwg950ueutgts6z9hg73z,cmp1rwg920ueltgts2buzf3p9,cmp1rwhr00wmltgts2z43spvg,00:06:39
cmp1rwj8c0yxltgts8vb3lauq,cmp1rwj840yx2tgtsqakz7bfr,cmp1rwhr00wmltgts2z43spvg,00:13:16
cmp1rwe940r5gtgtsfqlsgdea,cmp1rwe8c0r3htgtskzg1f8h1,cmp1rwiak0xcmtgtsqcli03n2,
cmp1rwgmq0up3tgtsjf4ml1ei,cmp1rwglz0un9tgtsoi1c386y,cmp1rwiak0xcmtgtsqcli03n2,00:52:20
cmp1rwg4x0u40tgtseqbqj9li,cmp1rwg3u0u16tgtsgn2m3p3q,cmp1rwivp0yfotgts4i2p38ah,00:35:30
cmp1rwhbz0w1gtgtsnr9px9vj,cmp1rwhav0vyrtgtsj7w90ou3,cmp1rwivp0yfotgts4i2p38ah,00:57:42
cmp1rwfz80tz0tgtsd8gtglgg,cmp1rwfyq0txqtgts2bhne0ws,cmp1rwivp0yfotgts4i2p38ah,00:23:29
cmp1rwg7h0uaktgtspzzdd4kn,cmp1rwg700u9btgtsjaetxe04,cmp1rwivp0yfotgts4i2p38ah,00:38:25
cmp1rwfgp0t3ztgtsdhgpexqo,cmp1rwff90t1utgts4p7bll0s,cmp1rwivp0yfotgts4i2p38ah,00:43:38
cmp1rwg6i0u83tgts9mikn18v,cmp1rwg5s0u69tgtskxmbxv7t,cmp1rwivp0yfotgts4i2p38ah,00:36:15
cmp1rwf5y0slttgtss8wi1bw6,cmp1rwf560sjstgtsr5ltpppi,cmp1rwivp0yfotgts4i2p38ah,00:57:51
cmp1rwf4t0siutgts087ny33y,cmp1rwf4b0shmtgtsx0pv43d2,cmp1rwivp0yfotgts4i2p38ah,00:30:10
cmp1rwfpv0tmftgts36b93xi8,cmp1rwfpr0tm3tgtsa8i7w8mx,cmp1rwivp0yfotgts4i2p38ah,00:29:55
cmp1rwgt40v5htgtsfwlwkkbg,cmp1rwgsy0v50tgtsmlglu9ip,cmp1rwitj0ybktgtssgdnx89q,00:07:50
cmp1rwgxz0vi1tgtsdc35pumm,cmp1rwgxg0vgptgtsbathya5i,cmp1rwitj0ybktgtssgdnx89q,00:23:55
cmp1rwer80rzstgtsw5pjsjl9,cmp1rweqx0rz0tgtsi0r9nivs,cmp1rwitj0ybktgtssgdnx89q,00:27:38
cmp1rwgre0v12tgtsk55vqy0b,cmp1rwgr80v0ntgtstyd45vyh,cmp1rwg8g0ud0tgtsw8s1zcb1,00:09:28
cmp1rwh8t0vv2tgts3q5yzqtj,cmp1rwh800vt3tgtsn6xvoiuz,cmp1rwg8g0ud0tgtsw8s1zcb1,00:42:32
cmp1rwfdd0sx1tgtsqj8p4741,cmp1rwfcl0sv8tgtskitdgjhv,cmp1rwi950xaktgtsjyehcled,01:07:38
cmp1rwfob0tihtgtsas1uscng,cmp1rwfnp0tgytgtss3vg5pgu,cmp1rwfi90t7utgtsacd20jjr,00:00:10
cmp1rwfvh0tr3tgtscqztbwdz,cmp1rwfqh0tnxtgts36ufpt10,cmp1rwfi90t7utgtsacd20jjr,00:01:50
cmp1rwfxn0tuytgtsgzcpka66,cmp1rwfvq0trstgtsikcsm3ti,cmp1rwfi90t7utgtsacd20jjr,00:00:52
cmp1rwgtt0v78tgts2v49e0aw,cmp1rwgsy0v50tgtsmlglu9ip,cmp1rwfi90t7utgtsacd20jjr,00:00:51
cmp1rwgv10vaftgtss31re4t6,cmp1rwgty0v7ntgtsu9ubo8o9,cmp1rwfi90t7utgtsacd20jjr,00:04:03
cmp1rwgw90vdjtgtsid8ao472,cmp1rwgw30vd4tgtsxu24gy7x,cmp1rwfi90t7utgtsacd20jjr,00:10:09
cmp1rwhn70weetgtsgqqpd4gg,cmp1rwhm90wbytgtsk25q96sp,cmp1rwfi90t7utgtsacd20jjr,00:04:09
cmp1rwiiv0xr6tgtspmz39g58,cmp1rwii20xp6tgts8kkotut8,cmp1rwfi90t7utgtsacd20jjr,00:00:00
cmp1rwiue0ydstgtsnxfq00hd,cmp1rwitg0ybftgtsl7op9mxv,cmp1rwfi90t7utgtsacd20jjr,00:00:42
cmp1rwj060ylstgtsvpalx9sm,cmp1rwiyr0yjqtgts47hotkh3,cmp1rwfi90t7utgtsacd20jjr,00:55:38
cmp1rwin90xz0tgtsxdsjjv7y,cmp1rwimd0xwptgtsi2uwbyua,cmp1rwilf0xuctgts8aqidoi4,00:45:02
cmp1rwisr0y9ntgtsefepr190,cmp1rwiqq0y63tgtsibmrnzn2,cmp1rwilf0xuctgts8aqidoi4,01:15:00
cmp1rwesj0s2xtgtskmog43t3,cmp1rweqx0rz0tgtsi0r9nivs,cmp1rwilf0xuctgts8aqidoi4,01:37:06
cmp1rwfd10sw7tgts13co0anl,cmp1rwfcl0sv8tgtskitdgjhv,cmp1rwilf0xuctgts8aqidoi4,00:47:06
cmp1rwf7a0spbtgtsqmyv2gs2,cmp1rwf780sp5tgts1juboojt,cmp1rwf340sektgtsrmh11uc3,00:05:11
cmp1rweiv0rr5tgtsi1lhds9n,cmp1rweil0rqgtgts9dbtd18u,cmp1rwgmm0uoqtgts1l5rdjhr,00:37:03
cmp1rwgpt0ux0tgtsiasoolmt,cmp1rwgpd0uvwtgts1bwliuel,cmp1rwf480shftgtsvsg1edor,00:23:23
cmp1rwfkf0tbttgtstvlhz1qg,cmp1rwfk50tb3tgtsiamxra63,cmp1rweb80ravtgts276m9w3g,00:13:13
cmp1rwhlq0waltgtsobki15y9,cmp1rwhld0w9qtgtstrr50cne,cmp1rweb80ravtgts276m9w3g,00:50:13
cmp1rwigu0xlztgtsn49hornt,cmp1rwig90xkntgtslh4u4xij,cmp1rwev50s7xtgtsm1gtv5ij,01:28:28
cmp1rwhyk0wuptgts0agfbepm,cmp1rwhyg0wudtgts69d3vqu0,cmp1rwinl0xzttgtskoejphep,00:10:15
cmp1rwgqs0uzitgtsa2dbvsfc,cmp1rwgqk0uyytgtsuj4bfekb,cmp1rwijr0xrwtgtsrgi0a2pf,00:24:16
cmp1rwjad0z14tgtsx38569h9,cmp1rwj9x0yzytgtsrcii8dgz,cmp1rwju210abtgtsi9v2mw2o,00:27:31
cmp1rwjgq0zfotgtseqnwtfcv,cmp1rwjgc0zertgtsp5nxrw7h,cmp1rwju210abtgtsi9v2mw2o,00:17:07
cmp1rwjlu0zr2tgtsgb51r541,cmp1rwjlm0zqgtgts2f1swy9i,cmp1rwju210abtgtsi9v2mw2o,00:16:25
cmp1rwjrz104ytgts172ml30e,cmp1rwjrm1041tgtsr6d28z8r,cmp1rwju210abtgtsi9v2mw2o,00:37:30
cmp1rwjzb10lztgtsk193dzoq,cmp1rwjz210lctgtssjcocr5v,cmp1rwju210abtgtsi9v2mw2o,00:16:43
